Name,Role,movie_ID
Brad Davis,Actor,RGBK
Brad Dourif,Actor,JMDS
Brad Garrett,Actor,ZQTF
Brad Pitt,Actor,"YBHZ, LPUK, HNIE, LXGX, HVWW, ZKUQ, DLKM, ELXD, SVOT, LFIO, CTKB, IFIA"
Bradley Cooper,Actor,"CGED, FRJX, OLNP, ZQUZ"
Bradley Cooper,Director,OLNP
Bradley Whitford,Actor,BJAX
Brady Corbet,Actor,AFNR
Brahim Hadjadj,Actor,EEAU
Branka Katic,Actor,JSMP
Branko Djuric,Actor,FZMK
Brenda Blethyn,Actor,"MECW, AODA, EBYV"
Brenda Fricker,Actor,ARTG
Brendan Gleeson,Actor,"UPXM, DZHB, YMUE, JGAE"
Bria Vinaite,Actor,PDLC
Brian Cox,Actor,FMNY
Brian De Palma,Director,"JHZX, DNIZ, LDGN"
Brian Dennehy,Actor,GMCP
Brian G. Hutton,Director,"ROYO, VOZE"
Brian Henson,Director,ZLBE
Brian Howe,Actor,GQFE
Brian O'Halloran,Actor,BIYD
Brian Tyler,Actor,PAJU
Bridget Moynahan,Actor,OBMM
Brie Larson,Actor,"UJQD, YAUJ, VLQS"
Brigitte Helm,Actor,MSQU
Brigitte Lin,Actor,HUCQ
Brooke Adams,Actor,WASM
Brooklynn Prince,Actor,PDLC
Bruce Bennett,Actor,RZUM
Bruce Cabot,Actor,YGKI
Bruce Campbell,Actor,IRWA
Bruce Davison,Actor,UPOW
Bruce Dern,Actor,BAMY
Bruce Lee,Actor,KJMK
Bruce Reitherman,Actor,CULF
Bruce Robinson,Director,VDAN
Bruce Spence,Actor,KXIT
Bruce Willis,Actor,"LXGX, XBYB, WWHT, EOAB, HTUH, TSZZ, DILT"
Bruno Ganz,Actor,"ADNU, JRKT"
Bruno Kirby,Actor,"WRPJ, EQAS"
Bruno Zanin,Actor,MJNT
Bryan Cranston,Actor,"ECUC, RGNH, AQDB"
Bryan Singer,Director,"GIUL, HSGQ, BNIO"
Bryce Dallas Howard,Actor,"JYAT, WCHV"
Bud Cort,Actor,QAPC
Buddy Ebsen,Actor,JBWN
Bulle Ogier,Actor,VQZR
Bunshi Katsura Vi,Actor,XYAI
Burak Yigit,Actor,KWOE
Burl Ives,Actor,"XYRL, NPAM"
Burt Lancaster,Actor,"VNJG, EAWD, YUSA"
Burt Reynolds,Actor,"QPWD, KEIK"
Burt Young,Actor,GYNR
Buster Keaton,Actor,"YORF, PVXY, PVXY"
Buster Keaton,Director,YORF
Buzz Kilman,Actor,BMBB
Byron Barr,Actor,BTBX
Byron Howard,Actor,EGMH
Byron Howard,Director,ABPH
Bárbara Lennie,Actor,IOWP
Bérénice Bejo,Actor,"HCDL, NEXH"
Börje Ahlstedt,Actor,POJU
Cab Calloway,Actor,ZBWN
Caio Junqueira,Actor,TCNI
Caitriona Balfe,Actor,ZKEI
Caleb Landry Jones,Actor,JCTT
Callan McAuliffe,Actor,HPTX
Cameron Crowe,Director,AHGV
Cameron Diaz,Actor,"XSLD, MEYL"
Can Ulkay,Director,TCYD
Candela Peña,Actor,WOUW
Carey Mulligan,Actor,ECUC
Carice van Houten,Actor,EQWZ
Carl Benton Reid,Actor,BTHG
Carl Miller,Actor,ANLA
Carl Möhner,Actor,PEGS
Carl Theodor Dreyer,Director,XNST
Carl Weathers,Actor,"GJHC, GYNR"
Carla Gugino,Actor,RGPA
Carla Quevedo,Actor,VYKO
Carlo Buccirosso,Actor,TAZL
Carlo Verdone,Actor,TAZL
Carlos Martínez López,Actor,TIWG
Carlos Peralta,Actor,LNLD
Carol Kane,Actor,RVQW
Carol Reed,Director,DTTB
Carole Lombard,Actor,LVHF
Caroline Goodall,Actor,UYGA
Carrie Fisher,Actor,"JURZ, GTQZ, LELW, WRPJ"
Carrie Henn,Actor,HXZV
Carrie-Anne Moss,Actor,"IHQN, DYUL"
Carroll Baker,Actor,TOMS
Carroll O'Connor,Actor,VOZE
Cary Elwes,Actor,"GYYR, EJOD, NHYF"
Cary Grant,Actor,"ICKZ, NLWX, QOAA, RIEV, KQPP, LHBQ, RWXE"
Cary Joji Fukunaga,Director,EHWX
Cary-Hiroyuki Tagawa,Actor,YDDL
Casey Affleck,Actor,"FMKI, JJTW"
Cate Blanchett,Actor,"HNIE, DPWY, AFCI, CCLK"
Catherine Deneuve,Actor,"NYKB, VMOZ, TILS, QEXB"
Catherine Keener,Actor,"BJAX, WVXB, FTTD, PQUB, XSLD"
Catherine O'Hara,Actor,NUJA
Cathy Moriarty,Actor,OXKS
Cathy Rosier,Actor,HIGI
Catinca Untaru,Actor,XTCP
Cecil B. DeMille,Director,MSKC
Cecil Parker,Actor,MUTV
Cecilia Roth,Actor,WOUW
Celeste Holm,Actor,THYG
Celia Johnson,Actor,OAMT
Celile Toyon Uysal,Actor,FZIF
Cem Yilmaz,Actor,IBKD
Chan-wook Park,Director,"LYUN, YDDU, IAPX, RBJG"
Charles Bronson,Actor,"CUKO, IKJB, DVXF, RTIM"
Charles Chaplin,Actor,"UVRC, FUPZ, TPEY, ANLA, KWUX, MZBV"
Charles Chaplin,Director,"KWUX, MZBV, ANLA, UVRC, TPEY, FUPZ"
Charles Durning,Actor,GYAE
Charles Fleischer,Actor,MQOM
Charles Laughton,Actor,"YRDM, SFXB"
Charles Laughton,Director,OXJX
Charles Martin Smith,Actor,DNIZ
Charles Ruggles,Actor,RIEV
Charles Vanel,Actor,"KFOZ, UAWM"
Charles Vidor,Director,JNDT
Charley Grapewin,Actor,FRHC
Charlie Cox,Actor,IJAS
Charlie Hunnam,Actor,WMHE
Charlie Kaufman,Director,PQUB
Charlie Pye Jr.,Actor,VLQS
Charlie Sheen,Actor,ARAH
Charlie Yeung,Actor,IYLI
Charlize Theron,Actor,"FWVN, ZBFB"
Charlotte Rampling,Actor,MRLG
Charlton Heston,Actor,"MSKC, YYLN, UULG, VRMQ"
Chase Ellison,Actor,AFNR
Chazz Palminteri,Actor,"RMUH, GIUL"
Chen Chang,Actor,XJGG
Chete Lera,Actor,FRGK
Chiara Mastroianni,Actor,QEXB
Chico Marx,Actor,"FLNM, ARJC"
Chief Dan George,Actor,EHDG
Chieko Baishô,Actor,BECK
Chieko Higashiyama,Actor,PTZW
Chika Sakamoto,Actor,WJTJ
Chishû Ryû,Actor,PTZW
Chiwetel Ejiofor,Actor,"ZKUQ, HKPT, PSRE, YPWI"
Chloë Grace Moretz,Actor,"OZUL, VTEL, QBSK"
Cho Jin-woong,Actor,LYUN
Cho Yeo-jeong,Actor,YWGV
Choi Min-sik,Actor,"RBJG, WJAG"
Choi Woo-sik,Actor,YWGV
Chris Columbus,Director,"LMLS, LZMG"
Chris Cooper,Actor,"ZORC, ZTRV, GTUX"
Chris Elliott,Actor,KYJK
Chris Evans,Actor,"SPRT, AHMI, YVGJ, TNTJ, EUBK, FLTS"
Chris Hemsworth,Actor,"MHXY, KVXI, CCLK"
Chris O'Donnell,Actor,BPLM
Chris Owen,Actor,ZTRV
Chris Penn,Actor,VUTR
Chris Pine,Actor,"CTSF, QCCI, XKEG"
Chris Pratt,Actor,"ZQUZ, NEFC, EHNG"
Chris Renaud,Actor,FHCE
Chris Sanders,Actor,GNPR
Chris Sarandon,Actor,"NUJA, GYYR"
Chris Williams,Actor,"HEZB, ALMM"
Christian Bale,Actor,"BVTW, GCBG, ZKEI, DGHA, VFJG, KXRI, DRRQ, WSYR, UNTN, BSSZ, YBHZ"
Christian Berkel,Actor,CPHB
Christian Carion,Director,SZHQ
Christian Friedel,Actor,PFWH
Christian Slater,Actor,"IKQY, LOBJ"
Christina Hendricks,Actor,PQXI
Christine Hargreaves,Actor,XZNR
